No,Test Case ID,Module,Test Name,Action (สิ่งที่ต้องทดสอบ),Expected Result (ผลลัพธ์ที่คาดหวัง),Priority
1,TC-AUTH-001,Authentication,Login with Admin Account,เปิด /login → กรอก admin@test.com / password → คลิก 'เข้าสู่ระบบ' → เปิด DevTools ตรวจ localStorage,"Redirect ไป /admin/dashboard, localStorage มี token และ user.role='admin'",Critical
2,TC-AUTH-002,Authentication,Login with Agent Account,เปิด /login → กรอกอีเมล Agent (active) + password (idCard) → เข้าสู่ระบบ,Redirect ไป /agent/dashboard และ user.role='agent' มี agent object,Critical
3,TC-AUTH-003,Authentication,Login with Invalid Credentials,กรอกอีเมล/รหัสผ่านผิด แล้วกดเข้าสู่ระบบ,แสดงข้อความ 'อีเมลหรือรหัสผ่านไม่ถูกต้อง' และไม่มี token ใน localStorage,High
4,TC-AUTH-004,Authentication,Login with Inactive Agent,ใช้บัญชี Agent ที่ status='inactive' ทำการ login,ระบบปฏิเสธการเข้า แสดง 'บัญชีผู้ใช้ถูกระงับ' หรือ 'รอการอนุมัติ',High
5,TC-AUTH-005,Authentication,Logout,ขณะ login อยู่ คลิก avatar → 'ออกจากระบบ',Redirect กลับ /login และ localStorage ลบ token/user; เข้าหน้า protected โดยตรงถูก redirect,High
6,TC-AUTH-006,Authentication,Access Protected Route Without Token,เปิด Incognito → เข้าที่ /admin/dashboard และ /agent/dashboard,ทั้งสองหน้าถูก redirect ไป /login,Critical
7,TC-AUTH-007,Authentication,Token Expiration Handling,Login แล้วแก้ token ใน localStorage ให้ไม่ถูกต้อง → refresh/call API,ระบบบังคับออก แสดงข้อความ token หมดอายุ/ไม่ถูกต้อง และ redirect /login,High
8,TC-AUTH-008,Authentication,JWT Token Security,Login → คัดลอก JWT → ตรวจที่ jwt.io,"payload มี {id,iat,exp}; alg=HS256; exp=iat+7d",Critical
9,TC-AUTH-009,Authentication,Agent Registration,"เข้าหน้า /register-agent → กรอกฟอร์มครบ (ชื่อ, email, phone, idCard, address, registrationDate) → submit",ขึ้นข้อความสำเร็จ; DB: agents.status='inactive'; users.role='agent' (password hashed=idCard),High
10,TC-AUTH-010,Authentication,CORS Policy Testing,ระหว่างใช้งาน ตรวจ Network Headers และ Console,มี Access-Control-Allow-Origin ตรงกับ origin ที่อนุญาต; ไม่มี CORS error,Critical
